### 08 — Logs du conteneur pendant le test (gunicorn / accès)

Toutes les requêtes POST /api/images/<name>/rotate observées :
  172.19.0.1 - - [09/Aug/2026:18:55:19 +0000] "POST /api/images/c58e91f57fc64dbcb7449d38825c98b1.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:18:55:22 +0000] "POST /api/images/c58e91f57fc64dbcb7449d38825c98b1.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:18:55:30 +0000] "POST /api/images/5bc86580bf7e49f392a109169e26edde.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:18:57:20 +0000] "POST /api/images/c58e91f57fc64dbcb7449d38825c98b1.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:13:02 +0000] "POST /api/images/a9ded68ba325424191125bd146e0087a.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:13:15 +0000] "POST /api/images/a9ded68ba325424191125bd146e0087a.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:13:15 +0000] "POST /api/images/a9ded68ba325424191125bd146e0087a.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:14:27 +0000] "POST /api/images/035ab4b2088145609c1d1d0b0ca71bc3.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:15:42 +0000] "POST /api/images/a3a2dd669ffc4f5f9b9c36b8552058ad.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:15:43 +0000] "POST /api/images/a3a2dd669ffc4f5f9b9c36b8552058ad.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
  172.19.0.1 - - [09/Aug/2026:19:15:45 +0000] "POST /api/images/a3a2dd669ffc4f5f9b9c36b8552058ad.jpg/rotate HTTP/1.1" 200 82 "http://localhost:8099/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/151.0.7922.34 Safari/537.36"
